timestamp_utc,deployment,prompt_name,run,server_latency_ms,client_roundtrip_ms,estimated_output_tokens,tokens_per_second,model,response_preview
2026-05-22T08:30:24.081070+00:00,hf_cpu,short_chat,1,33372,37945,27,0.81,Qwen/Qwen2.5-0.5B-Instruct,Hello! I'm an AI assistant here to help you with any questions or tasks you have. How can I assist you today?
2026-05-22T08:30:58.980488+00:00,hf_cpu,short_chat,2,33632,34899,33,0.98,Qwen/Qwen2.5-0.5B-Instruct,Hello! I'm an AI assistant here to help with various tasks and provide information on different topics. How can I assist you today?
2026-05-22T08:31:32.830063+00:00,hf_cpu,short_chat,3,31045,33849,28,0.9,Qwen/Qwen2.5-0.5B-Instruct,Hello! I'm an AI assistant here to help with any questions or tasks you might have. How can I assist you today?
2026-05-22T08:31:49.316259+00:00,hf_cpu,factual,1,15037,16486,9,0.6,Qwen/Qwen2.5-0.5B-Instruct,The capital of Australia is Canberra.
2026-05-22T08:32:14.102592+00:00,hf_cpu,factual,2,23541,24786,9,0.38,Qwen/Qwen2.5-0.5B-Instruct,The capital of Australia is Canberra.
2026-05-22T08:32:38.543284+00:00,hf_cpu,factual,3,22990,24440,9,0.39,Qwen/Qwen2.5-0.5B-Instruct,The capital of Australia is Canberra.
2026-05-22T08:33:04.600039+00:00,hf_cpu,reasoning,1,24969,26056,16,0.64,Qwen/Qwen2.5-0.5B-Instruct,The US president who issued the first iPhone was Barack Obama.
2026-05-22T08:33:30.931063+00:00,hf_cpu,reasoning,2,23503,26330,16,0.68,Qwen/Qwen2.5-0.5B-Instruct,The US president who issued the first iPhone was Barack Obama.
2026-05-22T08:33:55.291474+00:00,hf_cpu,reasoning,3,22830,24360,16,0.7,Qwen/Qwen2.5-0.5B-Instruct,The US president who issued the first iPhone was Barack Obama.
2026-05-22T08:34:25.923622+00:00,hf_cpu,instruction_following,1,29501,30631,39,1.32,Qwen/Qwen2.5-0.5B-Instruct,"Memory is crucial because it allows assistants to recall information quickly and efficiently, making interactions with users smoother and more personalized."
2026-05-22T08:34:54.290445+00:00,hf_cpu,instruction_following,2,27261,28367,40,1.47,Qwen/Qwen2.5-0.5B-Instruct,"Memory is crucial in assistants as it allows them to recall information quickly and efficiently, making interactions with users smoother and more personalized."
2026-05-22T08:35:37.404986+00:00,hf_cpu,instruction_following,3,41574,43114,40,0.96,Qwen/Qwen2.5-0.5B-Instruct,"Memory is crucial in assistants as it allows them to recall information quickly and efficiently, making interactions with users smoother and more personalized."
